cpu_id,oid,snap
 0 ," ""mds0_openfiles.0""", 18446744073709551614 
 1 ," ""mds0_openfiles.0""", 18446744073709551614 
 1 ," ""mds0_openfiles.0""", 18446744073709551614 
 0 ," ""mds0_openfiles.0""", 18446744073709551614 
 2 ," ""mds0_openfiles.0""", 18446744073709551614 
 1 ," ""mds0_openfiles.0""", 18446744073709551614 
 0 ," ""mds0_openfiles.0""", 18446744073709551614 
 1 ," ""mds0_openfiles.0""", 18446744073709551614 
 2 ," ""mds0_openfiles.0""", 18446744073709551614 
 2 ," ""mds0_openfiles.0""", 18446744073709551614 
 3 ," ""mds0_openfiles.0""", 18446744073709551614 
 3 ," ""mds0_openfiles.0""", 18446744073709551614 
 3 ," ""mds0_openfiles.0""", 18446744073709551614 
 2 ," ""mds0_openfiles.0""", 18446744073709551614 
 2 ," ""mds0_openfiles.0""", 18446744073709551614 
 0 ," ""mds0_openfiles.0""", 18446744073709551614 
 2 ," ""mds0_openfiles.0""", 18446744073709551614 
 3 ," ""mds0_openfiles.0""", 18446744073709551614 
 0 ," ""mds0_openfiles.0""", 18446744073709551614 
 3 ," ""mds0_openfiles.0""", 18446744073709551614 
 2 ," ""mds0_openfiles.0""", 18446744073709551614 
 3 ," ""mds0_openfiles.0""", 18446744073709551614 
